========================================================================================================
12. THE AROON READING BAR, AND THE SESSION WINDOW / FLATTEN
========================================================================================================
  markets with bars on disk: NQ
  points per trade, GROSS. research n/pts/PF then locked n/pts/PF.

========================================================================================================
  A - research top cell: EMA 21/62 cross w40, don 10/10, 3.0N, adx>=20

  --- NQ: AROON, length 25, read at the SIGNAL bar vs the PRIOR bar -- at donchian 10 the signal-bar reading is binds (aroon len > donchian entry)
  aroon       bar       res n   res pts  res PF  lock n  lock pts  lock PF
  --- NQ: AROON, length 25, read at the SIGNAL bar vs the PRIOR bar -- at donchian 55 the signal-bar reading is IDENTITY (aroon len <= donchian entry)
  aroon       bar       res n   res pts  res PF  lock n  lock pts  lock PF
  off         signal       54    +67.30    2.03      33    -20.02     0.83
  osc>=0      signal       54    +67.30    2.03      33    -20.02     0.83
  osc>=0      prior        52    +74.52    2.19      32    -16.07     0.86
  osc>=50     signal       47    +70.23    2.12      32    -72.07     0.43
  osc>=50     prior        39   +107.75    3.31      29    -71.31     0.46
  osc>=-50    signal       54    +67.30    2.03      33    -20.02     0.83
  osc>=-50    prior        53    +69.42    2.06      33    -20.02     0.83
  up>=70      signal       54    +67.30    2.03      33    -20.02     0.83
  up>=70      prior        45    +98.19    2.94      30    -11.82     0.90

  --- NQ: SESSION WINDOW (New York) x HARD FLATTEN
  window        flatten    res n   res pts  res PF  lock n  lock pts  lock PF
  all hours     none          54    +67.30    2.03      33    -20.02     0.83
  all hours     12:00         47    +16.02    1.46      28     +3.28     1.06
  all hours     15:45         65    +30.79    1.77      35    +12.42     1.28
  all hours     16:00         65    +30.79    1.77      35    +12.42     1.28
  09:30-11:00   none          15    +48.62    1.84       8   -119.53     0.00
  09:30-11:00   12:00         16    +11.25    1.66       9    -20.31     0.36
  09:30-11:00   15:45         16    +27.91    1.84       9    -18.15     0.64
  09:30-11:00   16:00         16    +27.91    1.84       9    -18.15     0.64
  09:30-12:00   none          21    +75.21    2.56      13    -48.56     0.43
  09:30-12:00   12:00         16    +11.25    1.66       9    -20.31     0.36
  09:30-12:00   15:45         22    +30.16    2.26      15     -0.81     0.97
  09:30-12:00   16:00         22    +30.16    2.26      15     -0.81     0.97
  08:00-12:00   none          33    +46.49    1.68      22    -52.36     0.46
  08:00-12:00   12:00         31     +0.35    1.01      19    -25.31     0.58
  08:00-12:00   15:45         37     +5.61    1.11      24     -2.90     0.94
  08:00-12:00   16:00         37     +5.61    1.11      24     -2.90     0.94
  09:30-16:00   none          34    +83.33    2.97      23    -66.99     0.43
  09:30-16:00   16:00         38    +35.97    3.26      21    -18.67     0.57
  10:00-16:00   none          34    +83.33    2.97      23    -66.99     0.43
  10:00-16:00   16:00         38    +35.97    3.26      21    -18.67     0.57
========================================================================================================
  A + aroon up>=70 at the PRIOR bar: EMA 21/62 cross w40, don 10/10, 3.0N, adx>=20

  --- NQ: AROON, length 25, read at the SIGNAL bar vs the PRIOR bar -- at donchian 10 the signal-bar reading is binds (aroon len > donchian entry)
  aroon       bar       res n   res pts  res PF  lock n  lock pts  lock PF
  off         signal       83    +41.28    1.90      50     +6.81     1.08
  osc>=0      signal       70    +48.55    2.13      38    +10.57     1.15
  osc>=0      prior        66    +55.86    2.40      35    +14.09     1.21
  osc>=50     signal       52    +62.52    2.61      32    +18.84     1.29
  osc>=50     prior        44    +75.81    2.97      31     +6.23     1.08
  osc>=-50    signal       76    +47.87    2.12      45     +4.01     1.05
  osc>=-50    prior        73    +51.56    2.24      44     +1.64     1.02
  up>=70      signal       63    +55.15    2.36      37    +14.02     1.20
  up>=70      prior        51    +68.55    2.87      33    +15.25     1.22

  --- NQ: SESSION WINDOW (New York) x HARD FLATTEN
  window        flatten    res n   res pts  res PF  lock n  lock pts  lock PF
  all hours     none          83    +41.28    1.90      50     +6.81     1.08
  all hours     12:00         89     -0.57    0.99      36     -5.02     0.93
  all hours     15:45        103    +17.78    1.40      52     +5.39     1.10
  all hours     16:00        103    +17.78    1.40      52     +5.39     1.10
  09:30-11:00   none          20    +39.71    3.10      11    -36.70     0.57
  09:30-11:00   12:00         22    +23.74    3.97      11    +12.25     2.38
  09:30-11:00   15:45         22    +40.41    3.27      11    +11.64     1.39
  09:30-11:00   16:00         22    +40.41    3.27      11    +11.64     1.39
  09:30-12:00   none          27    +73.37    5.49      19    -12.53     0.85
  09:30-12:00   12:00         22    +23.74    3.97      11    +12.25     2.38
  09:30-12:00   15:45         30    +46.22    3.94      20     -0.19     1.00
  09:30-12:00   16:00         30    +46.22    3.94      20     -0.19     1.00
  08:00-12:00   none          45    +46.84    1.99      29     +4.92     1.06
  08:00-12:00   12:00         46     -0.30    0.99      24    -14.93     0.73
  08:00-12:00   15:45         53    +24.16    1.60      32    -10.97     0.81
  08:00-12:00   16:00         53    +24.16    1.60      32    -10.97     0.81
  09:30-16:00   none          46    +71.64    4.56      34     +6.11     1.07
  09:30-16:00   16:00         47    +39.51    4.35      32     -2.04     0.94
  10:00-16:00   none          46    +71.64    4.56      34     +6.11     1.07
  10:00-16:00   16:00         47    +39.51    4.35      32     -2.04     0.94
========================================================================================================
  A + entry window 09:30-16:00 NY: EMA 21/62 cross w40, don 10/10, 3.0N, adx>=20

  --- NQ: AROON, length 25, read at the SIGNAL bar vs the PRIOR bar -- at donchian 10 the signal-bar reading is binds (aroon len > donchian entry)
  aroon       bar       res n   res pts  res PF  lock n  lock pts  lock PF
  off         signal       83    +41.28    1.90      50     +6.81     1.08
  osc>=0      signal       70    +48.55    2.13      38    +10.57     1.15
  osc>=0      prior        66    +55.86    2.40      35    +14.09     1.21
  osc>=50     signal       52    +62.52    2.61      32    +18.84     1.29
  osc>=50     prior        44    +75.81    2.97      31     +6.23     1.08
  osc>=-50    signal       76    +47.87    2.12      45     +4.01     1.05
  osc>=-50    prior        73    +51.56    2.24      44     +1.64     1.02
  up>=70      signal       63    +55.15    2.36      37    +14.02     1.20
  up>=70      prior        51    +68.55    2.87      33    +15.25     1.22

  --- NQ: SESSION WINDOW (New York) x HARD FLATTEN
  window        flatten    res n   res pts  res PF  lock n  lock pts  lock PF
  all hours     none          83    +41.28    1.90      50     +6.81     1.08
  all hours     12:00         89     -0.57    0.99      36     -5.02     0.93
  all hours     15:45        103    +17.78    1.40      52     +5.39     1.10
  all hours     16:00        103    +17.78    1.40      52     +5.39     1.10
  09:30-11:00   none          20    +39.71    3.10      11    -36.70     0.57
  09:30-11:00   12:00         22    +23.74    3.97      11    +12.25     2.38
  09:30-11:00   15:45         22    +40.41    3.27      11    +11.64     1.39
  09:30-11:00   16:00         22    +40.41    3.27      11    +11.64     1.39
  09:30-12:00   none          27    +73.37    5.49      19    -12.53     0.85
  09:30-12:00   12:00         22    +23.74    3.97      11    +12.25     2.38
  09:30-12:00   15:45         30    +46.22    3.94      20     -0.19     1.00
  09:30-12:00   16:00         30    +46.22    3.94      20     -0.19     1.00
  08:00-12:00   none          45    +46.84    1.99      29     +4.92     1.06
  08:00-12:00   12:00         46     -0.30    0.99      24    -14.93     0.73
  08:00-12:00   15:45         53    +24.16    1.60      32    -10.97     0.81
  08:00-12:00   16:00         53    +24.16    1.60      32    -10.97     0.81
  09:30-16:00   none          46    +71.64    4.56      34     +6.11     1.07
  09:30-16:00   16:00         47    +39.51    4.35      32     -2.04     0.94
  10:00-16:00   none          46    +71.64    4.56      34     +6.11     1.07
  10:00-16:00   16:00         47    +39.51    4.35      32     -2.04     0.94
========================================================================================================
  A + hard flatten at 16:00 NY: EMA 21/62 cross w40, don 10/10, 3.0N, adx>=20

  --- NQ: AROON, length 25, read at the SIGNAL bar vs the PRIOR bar -- at donchian 10 the signal-bar reading is binds (aroon len > donchian entry)
  aroon       bar       res n   res pts  res PF  lock n  lock pts  lock PF
  off         signal       83    +41.28    1.90      50     +6.81     1.08
  osc>=0      signal       70    +48.55    2.13      38    +10.57     1.15
  osc>=0      prior        66    +55.86    2.40      35    +14.09     1.21
  osc>=50     signal       52    +62.52    2.61      32    +18.84     1.29
  osc>=50     prior        44    +75.81    2.97      31     +6.23     1.08
  osc>=-50    signal       76    +47.87    2.12      45     +4.01     1.05
  osc>=-50    prior        73    +51.56    2.24      44     +1.64     1.02
  up>=70      signal       63    +55.15    2.36      37    +14.02     1.20
  up>=70      prior        51    +68.55    2.87      33    +15.25     1.22

  --- NQ: SESSION WINDOW (New York) x HARD FLATTEN
  window        flatten    res n   res pts  res PF  lock n  lock pts  lock PF
  all hours     none          83    +41.28    1.90      50     +6.81     1.08
  all hours     12:00         89     -0.57    0.99      36     -5.02     0.93
  all hours     15:45        103    +17.78    1.40      52     +5.39     1.10
  all hours     16:00        103    +17.78    1.40      52     +5.39     1.10
  09:30-11:00   none          20    +39.71    3.10      11    -36.70     0.57
  09:30-11:00   12:00         22    +23.74    3.97      11    +12.25     2.38
  09:30-11:00   15:45         22    +40.41    3.27      11    +11.64     1.39
  09:30-11:00   16:00         22    +40.41    3.27      11    +11.64     1.39
  09:30-12:00   none          27    +73.37    5.49      19    -12.53     0.85
  09:30-12:00   12:00         22    +23.74    3.97      11    +12.25     2.38
  09:30-12:00   15:45         30    +46.22    3.94      20     -0.19     1.00
  09:30-12:00   16:00         30    +46.22    3.94      20     -0.19     1.00
  08:00-12:00   none          45    +46.84    1.99      29     +4.92     1.06
  08:00-12:00   12:00         46     -0.30    0.99      24    -14.93     0.73
  08:00-12:00   15:45         53    +24.16    1.60      32    -10.97     0.81
  08:00-12:00   16:00         53    +24.16    1.60      32    -10.97     0.81
  09:30-16:00   none          46    +71.64    4.56      34     +6.11     1.07
  09:30-16:00   16:00         47    +39.51    4.35      32     -2.04     0.94
  10:00-16:00   none          46    +71.64    4.56      34     +6.11     1.07
  10:00-16:00   16:00         47    +39.51    4.35      32     -2.04     0.94
